BANKLEITZAHL|KOSTENSTELLENGRUPPE|KOSTENSTELLENGRUPPENBEZEICHNUNG|DRUCK_KONDITIONEN|UMSATZGRENZE_SOLL|UMSATZGRENZE_HABEN|SCHECK_SPESEN_STK10|SCHECK_SPESEN_STK20
35000|44|Sanierungskunden|1|7000|7000|3,50|7,00
35000|41|Rechnungswesen & Controlling|1|7000|7000|3,50|7,00
35000|42|Meldewesen RBGS|1|7000|7000|3,50|7,00
35000|40|Finanzdirektion|1|7000|7000|3,50|7,00
35000|50|BL SC RVS, RBn und Ware|1|7000|7000|3,50|7,00
35000|51|Office Raiffeisenbanken|1|7000|7000|3,50|7,00
35000|52|Raiffeisenbankenberatung|1|7000|7000|3,50|7,00
35000|53|Kreditber./Unternehmensanalyse|1|7000|7000|3,50|7,00
35000|54|Recht und Compliance|1|7000|7000|3,50|7,00
35000|55|SC Zahlungsverkehr|1|7000|7000|3,50|7,00
35000|56|SC Finanzierung und WP|1|7000|7000|3,50|7,00
35000|57|SC ZEK & Expedit|1|7000|7000|3,50|7,00
35000|58|SC Kunde & Konto|1|7000|7000|3,50|7,00
35000|60|Bereichsleitung PGK|1|7000|7000|3,50|7,00
35000|61|AL Filialen|1|7000|7000|3,50|7,00
35000|62|FVB ZELL|1|7000|7000|3,50|7,00
35000|63|FVB SCHA|1|7000|7000|3,50|7,00
35000|64|FVB MOLE|1|7000|7000|3,50|7,00
35000|65|FVB PAAI|1|7000|7000|3,50|7,00
35000|66|Fil. Oberndorf|1|7000|7000|3,50|7,00
35000|67|Fil. Altstadt|1|7000|7000|3,50|7,00
35000|68|Fil. Lehen|1|7000|7000|3,50|7,00
35000|70|PKVS|1|7000|7000|3,50|7,00
35000|71|PKAS exkl. PKVS|1|7000|7000|3,50|7,00
35000|72|OE Vertriebsconsulting PGK|1|7000|7000|3,50|7,00
35000|73|OE Finanzpl./Verkaufscoaching|1|7000|7000|3,50|7,00
35000|74|Raiffeisen Immobilien Sbg eGen|1|7000|7000|3,50|7,00
35000|75|Raiffeisen Sbg Vorsorge GmbH|1|7000|7000|3,50|7,00
35000|76|Digi Services & Prodmgmt PGK|1|7000|7000|3,50|7,00
35000|80|Bereichsleitung FK|1|7000|7000|3,50|7,00
35000|81|Firmenkunden und Bauträger|1|7000|7000|3,50|7,00
35000|82|Vertriebsunterstützung FK|1|7000|7000|3,50|7,00
35000|85|Treasury|1|7000|7000|3,50|7,00
35000|90|Betriebl. Immobilien|1|7000|7000|3,50|7,00
35000|95|RVS Beteiligungen Allgemein|1|7000|7000|3,50|7,00
35000|96|BVG|1|7000|7000|3,50|7,00
35000|59|Initiativen SC Bank|1|7000|7000|3,50|7,00
35100|91|Ware 3er|2|7000|7000|3,50|7,00
35100|12|Ware eigene KST|2|7000|7000|3,50|7,00
35101|90|Verwaltung|2|7000|7000|3,50|7,00
35160|90|Verwaltung|2|7000|7000|3,50|7,00
35210|90|Verwaltung|2|7000|7000|3,50|7,00
35240|90|Verwaltung|2|7000|7000|3,50|7,00
